sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
"Ser político está se transformando em sinônimo de erro, de equívoco, de crime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por fim, o Governo projeta uma sombra na parede e diz que a Presidente não cometeu crime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós sabemos que não é crime!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E aqui vai meu agradecimento ao povo brasileiro que reagiu diante de tanta ladroagem, de tanto absurdo, de tanta aberração praticada por aqueles que estão no Governo durante esses quase  anos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A anistia destina-se para o crime de caixa dois.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manifesto solidariedade à família das vítimas, bem como o meu total repúdio aos crimes de transfobia e LGBTfobia, reivindicando que a investigação policial alcance pleno e célere êxito, e que os criminosos sejam identificados e presos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Deputado Eduardo Cunha pode ser cassado, porque, além de ter mentido para a CPI da PETROBRAS, é responsável pelo cometimento de vários crimes, como lavagem de dinheiro, formação de quadrilha, recebimento de propinas milionárias e ocultação de várias contas no exterior.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tem um projeto que exige que, em todo patrocínio feito por banco ou empresa pública, % do valor do contrato seja destinado ao futebol feminino, que tem crescido, é muito importante para o Brasil, mas que está praticamente abandonado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Num momento de comoção, em que todos nós do Estado do Rio de Janeiro estamos preocupados, ele disse que parte dessa responsabilidade é da mudança legislativa, especialmente com relação aos crimes cometidos contra policiais ou agentes de segurança pública.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ela fez tudo isso, mas não cometeu crime de responsabilidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depois, teve a cara de pau de votar para que não se desse andamento ao processo de um Presidente pego com as impressões digitais no crime.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cometeu crime, sim!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deputado Eduardo Cunha, muito obrigado pela oportunidade de trabalhar nesta matéria.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apesar das tristezas que me trazem aqui para denunciar o caos, a violência, a existência de milícias, que assassinam nossos jovens na periferia, todos os dias - aos finais de semana, ocorrem mais de  mortes -, nossa cidade é linda e tem um povo trabalhador, criativo.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talvez seja este o motivo de ele querer fazer a reforma trabalhista: não fazer mais contrato de trabalho.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nenhum direito do trabalhador está ameaçado!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É um acordo importante para que possibilitemos que os dependentes dos agentes diplomáticos também possam adentrar o mercado de trabalho, que está inexistindo para o povo brasileiro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A proposta de reforma da Previdência estabelece também o seguinte: A idade mínima para a aposentadoria ainda pode aumentar, se ocorrer aumento da média de sobrevida da população.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por essa razão, na certeza de que contaremos com o apoio dos nobres colegas para sua aprovação, apresentamos o referido projeto de lei, que visa resguardar o trabalho gratuito espontâneo, de caráter solidário ou comunitário, prestado por profissional vinculado a conselho de fiscalização profissional.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu não tenho dúvida nenhuma de que, de todos os projetos de lei sobre matéria trabalhista já discutidos no Congresso Nacional, este é o que mais retira direitos trabalhistas desde o advento da CLT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fazemos esta denúncia porque essa postura está prejudicando não só a política deste País, mas também a nossa economia, que fica paralisada, causando desemprego e perdas para os trabalhadores.. sr Presidente, eu só quero registrar que hoje, no Amapá, está havendo um workshop sobre a Zona Franca Verde.",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,
"O impacto direto, conforme divulgou em nota o Ministério da Previdência é que um segurado com  anos de idade e  anos de contribuição para o Instituto Nacional do Seguro Social terá que contribuir por mais  dias para ter o mesmo valor de aposentadoria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós todos aqui no Congresso Nacional, na Câmara dos Deputados e no Senado Federal, as Lideranças de todos os partidos, devemos estar unidos para lutar e trabalhar para que esta greve acabe, porque está prejudicando muito a sociedade que trabalha e que quer continuar trabalhando.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nesse sentido, sr Presidente, amanhã, dia , os trabalhadores demonstrarão sua força através da mobilização.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servidor público que trabalha bem merece reconhecimento.,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agricultor familiar, casado, pai e avô, começou sua luta pelo campo em , quando ingressou na Ação Católica Rural e no Sindicato dos Trabalhadores Rurais de Serra Talhada.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O sr Chico Lopes - Uma coisa que eu admiro na bancada cearense é que as nossas divergências não nos impedem de elogiar o trabalho dos outros companheiros.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Muita gente lá fora acha que Deputado não trabalha.,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Denise Gentil, o Governo está dando calote no trabalhador e na trabalhadora rural e urbana, no aposentado e na aposentada, no deficiente físico ou mental, que detêm o direito a benefício previdenciário, bem como na viúva, no servidor público e em todos aqueles que contribuem para ter uma aposentadoria digna.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fica o pedido especial ao Ministro do Planejamento, Henrique Meirelles, para que aprecie com carinho essa solicitação, porque são projetos que vão gerar dividendos e empregos no nosso País, que hoje já tem  milhões de desempregados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Imaginem que, por ter perdido o emprego e não ter conseguido pagar uma prestação de  ou  reais, esse trabalhador poderá perder agora a sua casa e ver o seu sonho se transformar em pesadelo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regina de Almeida Rocha desempenhou no Ministério Público do Maranhão, valorizando os promotores e procuradores do Estado, os quais têm nosso respeito e admiração, até porque o Ministério Público do Maranhão é uma das instituições mais respeitadas do Estado, pelo trabalho que vem realizando.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O jovem que irá acessar pela primeira vez o mercado de trabalho encontrará pela frente sérias inseguranças.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quando o Partido dos Trabalhadores e o Presidente Lula assumiram, a PETROBRAS era a sexta petrolífera do mundo.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconhecimento profissional implica necessariamente salário compatível com o trabalho desempenhado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eles disseram que iriam retirá-la para dar estabilidade ao País, gerar empregos, transferir a renda para a população, desenvolver o Brasil e fazê-lo crescer.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estaremos nesse dia trabalhando em pleno sábado de carnaval.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Já os sargentos e os oficiais só são alcançados pelo aposentadoria compulsória aos  anos de idade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O que precisamos é, sim, combater a situação do trabalho desrespeitoso dentro das empresas, do assédio moral, da falta de condições de trabalho, de excesso de horas trabalhadas.. sr Presidente, sr e sr Deputados, eu queria, primeiro, fazer um registro e um agradecimento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toda vez que há algum problema neste País, o MST - Movimento dos Trabalhadores Rurais sem Terra vai e invade a Fazenda Santa Bárbara, para fazer palanque apenas ou para pressionar o Instituto Nacional de Colonização e Reforma Agrária - INCRA a entregar cesta básica, a dar algum tipo de benefício que eles acham que devem receber.",,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
O Prefeito Marcus Alexandre vem se destacando pelo trabalho firme.,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Neste momento de crise, mais do que nunca o Brasil precisa de dólares, de emprego e de turistas, e para isso esse projeto é de vital importância.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na cidade, a administração pública é a maior empregadora, com  funcionários.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O que nós fizemos foi ampliar a proteção dos trabalhadores na previdência pública.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enquanto isso, eles querem penalizar, sacrificar o povo brasileiro com a reforma trabalhista, com a reforma previdenciária, com as terceirizações, com a PEC do teto de gastos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E isso é ruim para nós trabalhadores porque o Fundo de Previdência Social é do conjunto dos trabalhadores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós estamos trabalhando com o Brasil inteiro, com um conjunto da diversidade cultural brasileira, com as capitais e as cidades do interior, a área rural e as aldeias indígenas.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós precisamos resgatar esses ,%, o que todo trabalhador brasileiro conseguiu na Justiça, que é o Plano Collor, o Plano Bresser, aqueles planos antigos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O cálculo de aposentadoria por idade e tempo de contribuição, somando-se  anos de contribuição com a idade de  anos ou  anos, será reduzido em mais de um quarto, percentualmente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É por isso que o Partido dos Trabalhadores continua a insistir em querer convencer o brasileiro de que o que passou, passou.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós não podemos aceitar que a dívida dos Estados seja repactuada à custa dos trabalhadores.,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"As portas do meu gabinete estarão sempre abertas para aqueles que quiserem contribuir com sugestões e críticas, demandas e pleitos, de maneira que, juntos, possamos trabalhar para atender às justas expectativas do povo brasileiro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"É importante dizer também que essa legislação tem  anos, mas só agora o Governo resolveu mexer, para prejudicar o trabalhador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Além disso, nós temos a pior jornada de trabalho e as piores condições de trabalho dos policiais militares de todo o Brasil.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
"O BNDES tem, sim, a precípua missão de fazer investimentos no território nacional, investimentos que atendam, sobretudo, às áreas menos desenvolvidas, para gerar riqueza, gerar oportunidade, gerar emprego.",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
"Portanto, eu peço ao Presidente da República e à Casa Civil que olhem com bons olhos para esse setor, a fim de que essas pessoas possam continuar trabalhando e sustentando as suas famílias.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reais; que quebra sindicatos para enfraquecer a luta dos trabalhadores e trabalhadoras e possibilitar que o negociado rasgue definitivamente o legislado em uma série de cláusulas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agosto foi o mês de criação do maior número de empregos com carteira assinada, em  anos, e com o mundo ainda em recessão, sr Presidente!",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,
que vamos continuar trabalhando.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Brasil estabilizado foi entregue, em  e , para o Partido dos Trabalhadores.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigado.. sr Presidente, eu gostaria de registrar com muita tristeza e até com saudade o falecimento de Carlos Manoel Costa Lima, militante do Partido dos Trabalhadores, um fundador da Central Única dos Trabalhadores do Estado do Rio de Janeiro.",,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
"Portanto, é uma forma correta e avançada de garantir moradia para o povo brasileiro e, ao mesmo tempo, garantir emprego e renda para os trabalhadores.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para não ir muito longe, por esse descontrole financeiro, resolvemos apenas fazer uma análise do que aconteceu do dia º de janeiro aos primeiros dias de março do ano passado e comparar com o mesmo período deste ano, quando o Governo inicia o maior arrocho fiscal, o maior arrocho ao trabalhador da história da Nova República.",,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
"Cita também declaração de Eduardo Eugênio, da Federação das Indústrias do Estado do Rio de Janeiro - FIRJAN: Podemos ter um novo governo no início de maio, se o Congresso trabalhar no sentido que precisa trabalhar.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Recebo o recurso, Deputado, e irei encaminhá-lo à Comissão de Constituição e Justiça e de Cidadania.. sr Presidente, eu também recorro, em nome da bancada do Partido dos Trabalhadores, da decisão proferida, pelos argumentos já fartamente discorridos pelo Deputado Arnaldo Faria de Sá.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Marta Leão; e o grande companheiro, que faz um grande trabalho no CONSEA - Conselho Estadual de Segurança Alimentar, Gil Marcos Carvalho.",,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
"sr Presidente, sr e sr Deputados, cumprimentando todos, retorno a esta tribuna para me solidarizar com todos os petroleiros em greve no Brasil, particularmente com os petroleiros do Estado do Ceará, que estão lutando por melhores condições de trabalho e pela defesa da PETROBRAS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E é exatamente por isso, sr Presidente, que estamos tratando do projeto de lei sobre a terceirização, que permite que se flexibilize um pouco a enrijecida e antiquada legislação trabalhista que temos, que onera o posto do trabalho em % do custo direto do trabalhador, que não flexibiliza a negociação entre empregados e empregadores, que custa demais ao trabalho formal, que expulsa da legalidade e da formalidade metade da população brasileira trabalhadora.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, sr Presidente, vamos trabalhar para acabar com a impunidade no País.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cerca de  famílias de trabalhadores rurais sem terra, que estão acampadas, tiveram a sua terra invadida e não foi por ação da Justiça e da Polícia cumprindo seu papel constitucional, não!",,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
O transporte alternativo e complementar na Bahia garante a geração de emprego e renda e proporciona à população o acesso ao direito ao território e melhores condições de circulação entre as cidades do interior.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Ao todo, , milhão de vagas formais foram suprimidas entre março de  e março deste ano, segundo o Cadastro Geral de Empregados e Desempregados , do Ministério do Trabalho e Previdência Social.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Respeitamos aquela Casa, mas é importante que o Brasil conheça de verdade a vaquejada do nosso País, do Nordeste, que movimenta recursos, movimenta empregos, movimenta toda uma geração e que cria toda uma expectativa em várias cidades do Nordeste.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Os rurais foram os que mais se avançou nas negociações em que participei ativamente na comissão, seja em plenário, ou nas audiências públicas, onde comprovamos que esses trabalhadores, ao contrário do que afirmava o governo, contribuem sim para a Previdência e que não são os responsáveis pela crise econômica em que o país se encontra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estou muito feliz porque trabalhei para que Cajazeiras tivesse esse ginásio.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E posso dizer isso com muita satisfação, porque participamos também do esforço para levar os estaleiros para o Porto de Suape, retomar e gerar emprego, gerar conhecimento e enriquecer este País com tecnologia e capacidade de fabricação de navios.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Aproveito para parabenizar o Deputado Luiz Couto, que foi o Presidente dessa Comissão, e o Deputado Arnaldo Jordy, Relator da matéria, que é fruto de todo esse trabalho constatado pela CPI do Tráfico de Pessoas.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"Nós precisamos trazer mais pessoas de bem, pessoas que queiram trabalhar para o coletivo e não para o indivíduo, nem por interesse próprio.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essas tragédias atestam o fracasso de projetos como o Minha Casa Minha Vida, que não resolvem o problema habitacional ao levar as pessoas para loteamentos distantes de empregos e serviços públicos.",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu queria registrar o nosso apoio irrestrito e ilimitado à mobilização dos trabalhadores deste País, especialmente neste momento, à categoria dos petroleiros, que se encontra em greve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veja, uma prerrogativa que está sendo criminalizada é o item dois do artigo sete do estatuto da OAB: a inviolabilidade do seu escritório e seu local de trabalho bem como seus instrumentos de trabalho e suas correspondências escritas, eletrônicas, telefônicas e telemáticas, desde que relativas ao exercício da advocacia.""",,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,
"É preciso que a sociedade saiba que, caso seja aprovada essa lei, ficará mais difícil responsabilizar empregadores que desrespeitam os direitos trabalhistas, porque a relação entre a empresa principal e o funcionário terceirizado fica mais distante e difícil de ser comprovada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós estamos trabalhando, junto ao Conselho, junto ao Ministro da Fazenda, junto ao Presidente da República, para que o Nordeste tenha um tratamento diferenciado do que é dado às outras regiões.",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
"Mas, para acabar de uma vez por todas com essa falácia do Partido dos Trabalhadores, eu trago um link muito claro que vem do portal do MEC: portal.mec.gov.br/seb/arquivos/pdf/livro.pdf Está aqui.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É por isso que as grandes empresas querem ser operadoras, querem trabalhar justamente nessa fronteira.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E a mentira é tamanha que eu leio os jornais e vejo o Ministro do Trabalho dizer que a terceirização é um fato no Brasil, não adianta ignorar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Destaco o trabalho do Secretário de Estado de Meio Ambiente e Recursos Hídricos, Luiz Eduardo Cheida, que instituiu o prêmio e também às premiadas Lídia Lucaski, Maria Leila Grabowski e Marcia Regina Lopes Arantes.",,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
"E os trabalhadores que participaram da empresa, compraram ações com % de seus depósitos no Fundo de Garantia, por conseguinte, perderam metade do seu patrimônio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agora, a serviço da Secretaria do Trabalho e Emprego da Bahia - aproveito para parabenizar o Secretário e o Governador Wagner por esse trabalho -, vai nos dar um panorama do trabalho negro no Estado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Congresso Nacional tem que legislar, haja vista que, na semana passada, quando incluímos a pequena e microempresa no REFIS, a repercussão positiva de milhares e milhares de empreendedores, de brasileiros que têm pequena e microempresa, responsáveis por quase % do emprego no País, foi de felicidade em poder acertar as suas contas.",,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,
"Fica aqui o registro ao trabalho do Governador Tião Viana, do Secretário de Meio Ambiente, Edegard de Deus, da Diretora-Presidente do Instituto de Mudanças Climáticas, Magaly Medeiros; do Paulinho Viana, Presidente do Instituto de Meio Ambiente do Acre; e de todos os demais agentes, colaboradores e apoiadores do Sistema de Meio Ambiente do Acre, que tanto nos orgulha dentro e fora do País!",,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Minha sugestão ao Presidente da Casa e aos meus colegas Deputados é que formemos um grupo de trabalho, para que possamos ouvir especialistas e desenvolver novas opções, soluções e caminhos de saída da crise que o Brasil enfrenta, para que o Legislativo tenha um papel mais ativo nesse processo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
Necessitamos que setores de inteligência da Policia Federal e da Receita Federal busquem os grandes grupos econômicos que estão por trás dessas ações visíveis no trabalho de contrabandistas formiguinhas nas fronteiras e em território nacional.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, sr Presidente, quero deixar registrado o nosso trabalho.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aproveito aqui para elogiar o trabalho que vem sendo feito pela Polícia Federal, com autonomia, pelo Ministério Público e pela Justiça Federal também.",,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
"Precisamos dar oportunidades iguais a todos, precisamos deixar este País empreender, precisamos deixar que os Luizes Antônios da vida não mais precisem tirar a própria vida para fazer valer o seu direito de dar emprego, de avançar e desenvolver o País.",,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
"Assim, mostra-se falsa a hipótese de que o aumento dos direitos das trabalhadoras diminuiria a oferta de postos de trabalho, pois no curto espaço de tempo decorrido após a aprovação da ampliação dos direitos das trabalhadoras domésticas houve contínua elevação da formalidade e da renda das trabalhadoras, com taxas de desemprego menores do que as das demais categorias profissionais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Temos certeza de que esse é um grande programa e que ele precisa ser prorrogado.. sr Presidente, eu queria prestar a minha solidariedade aos trabalhadores brasileiros, que marcaram greve geral para sexta-feira, dia  de junho.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Dia do Bombeiro foi celebrado sexta-feira passada na sede da ª Região Integrada de Segurança Pública , em Governador Valadares, em homenagem aos profissionais que se destacaram no exercício de suas funções, além de personalidades públicas e entidades que contribuem com o trabalho da corporação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele está pagando para trabalhar, está enfrentando dificuldades.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não venham falar mal de quem trabalha, de quem é honesto, de quem é sério.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Os Senadores do Partido dos Trabalhadores deram entrada a cinco questões de ordem, as mesmas questões de ordem de sempre, e foi tudo muito bem esclarecido.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para se ter ideia, nos últimos  meses, o único setor da economia que gerou postos de trabalho foi o setor de saúde - quase  mil novos postos de trabalho.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Os trabalhadores de FURNAS, da CHESF, da ELETRONORTE e da ELETROSUL concluíram uma greve vitoriosa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então, para finalizar, eu quero cumprimentar o nosso ex-Vereador, Missionário Francisco Hélio, que está fazendo um trabalho junto a todas as entidades de Uberlândia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu prontamente fui recebido pelo Ministro Celso Pansera, que mais do que somente conversar comigo, teve o gesto cordial de ligar para uma das emissoras campinenses e afirmar que tem um projeto não apenas para garantir a permanência do INSA, de todo o seu trabalho de extensão, de pesquisa, mas também para fazer com que o INSA se torne um instituto nacional de biomas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por isso, além de debater as reformas que estamos discutindo - a da Previdência e a trabalhista -, este Congresso precisa discutir esse assunto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Os trabalhadores ficam esperando, Presidente, e eles dependem disso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A política social mais importante, a que realmente dá dignidade ao cidadão, a que realmente dá dignidade ao pai de família, a mais fundamental, imprescindível, é a política de emprego.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mas podemos trabalhar e comprar essas coisas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"São mais de  anos de trabalho, de história, de acúmulo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como Vereador e cidadão de Porto Alegre, eu acompanhei muito e acompanho o trabalho da nossa empresa pública de saneamento, o Departamento Municipal de Água e Esgotos - DMAE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mas eu tenho certeza absoluta de que, pelo esforço do Presidente do Partido dos Trabalhadores, Rui Falcão, no sentido de quase exigir publicamente a renúncia do Parlamentar Andre Vargas, a situação é crítica, a situação vai comprometer, com certeza, o Governo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No caso específico dos trabalhadores rurais, estou inconformado pelo fato de o Relator não ter aceitado emenda de minha autoria, elaborada pelo conjunto com o Movimento Sindical dos Trabalhadores e Trabalhadoras Rurais - MSTTR, que trata da forma de contribuição dos trabalhadores rurais, que hoje se dá através do desconto de ,% de todas as vendas que efetuar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somente a fabricação do Embraer KC- trará para o Brasil  bilhões de dólares ao ano em exportações; geração de mais de  mil empregos diretos e indiretos; tecnologia nacional; fortalecimento da indústria aeronáutica nacional; maior integração nacional.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milhares de tocantinenses vão ter emprego durante a construção dessa obra.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isso é fundamental para que nós possamos trabalhar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Impede a acumulação de benefícios para quaisquer regimes, tanto de aposentadorias quanto de pensões.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoje, % da força de trabalho está terceirizada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Parece simples, mas isso é parte da construção da dignidade da mulher trabalhadora.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vou dar um exemplo apenas: a INFRAERO, sr Presidente, tem  mil trabalhadores que não têm onde sentar, não têm cadeira e mesa para sentar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
